e_all	E_all	time(sec)
0.362060	0.369745	0.100000	0.020768
0.343879	0.346000	0.100000	0.016454
0.340730	0.342852	0.100000	0.020145
0.338234	0.340355	0.100000	0.015763
0.335840	0.337960	0.100000	0.015753
0.333517	0.335638	0.100000	0.015918
0.331254	0.333377	0.100000	0.015776
0.329040	0.331167	0.100000	0.015824
0.326868	0.329002	0.100000	0.015839
0.324731	0.326875	0.100000	0.015938
0.322627	0.324782	0.100000	0.015999
0.320549	0.322719	0.100000	0.015928
0.318497	0.320684	0.100000	0.015950
0.316467	0.318673	0.100000	0.015963
0.314458	0.316685	0.100000	0.015949
0.312468	0.314718	0.100000	0.016124
0.310495	0.312771	0.100000	0.016001
0.308540	0.310843	0.100000	0.016119
0.306601	0.308932	0.100000	0.016020
0.304678	0.307039	0.100000	0.016150
0.302770	0.305162	0.100000	0.016208
0.300877	0.303302	0.100000	0.016114
0.298999	0.301457	0.100000	0.016168
0.297136	0.299628	0.100000	0.016132
0.295287	0.297815	0.100000	0.016093
0.293452	0.296017	0.100000	0.016185
0.291633	0.294234	0.100000	0.016170
0.289827	0.292467	0.100000	0.016286
0.288037	0.290716	0.100000	0.016162
0.286262	0.288980	0.100000	0.016155
0.284501	0.287259	0.100000	0.016188
0.282756	0.285555	0.100000	0.016201
0.281026	0.283866	0.100000	0.016174
0.279313	0.282194	0.100000	0.016185
0.277614	0.280538	0.100000	0.016258
0.275933	0.278899	0.100000	0.016235
0.274267	0.277276	0.100000	0.016209
0.272618	0.275670	0.100000	0.016330
0.270986	0.274082	0.100000	0.016195
0.269371	0.272510	0.100000	0.016279
0.267772	0.270957	0.100000	0.016171
0.266192	0.269421	0.100000	0.016288
0.264629	0.267902	0.100000	0.016285
0.263084	0.266402	0.100000	0.016262
0.261556	0.264920	0.100000	0.016310
0.260047	0.263457	0.100000	0.016278
0.258556	0.262011	0.100000	0.016243
0.257084	0.260585	0.100000	0.016272
0.255630	0.259176	0.100000	0.016392
0.254194	0.257787	0.100000	0.016277
0.252778	0.256417	0.100000	0.016343
0.251380	0.255065	0.100000	0.016397
0.250001	0.253732	0.100000	0.016325
0.248640	0.252418	0.100000	0.016298
0.247299	0.251123	0.100000	0.016405
0.245976	0.249847	0.100000	0.016379
0.244673	0.248589	0.100000	0.016390
0.243388	0.247351	0.100000	0.016381
0.242122	0.246131	0.100000	0.016385
0.240874	0.244930	0.100000	0.016490
0.239646	0.243748	0.100000	0.016366
0.238435	0.242584	0.100000	0.016514
0.237244	0.241438	0.100000	0.016408
0.236070	0.240311	0.100000	0.016560
0.234915	0.239201	0.100000	0.016429
0.233778	0.238110	0.100000	0.016485
0.232658	0.237036	0.100000	0.016484
0.231557	0.235980	0.100000	0.016474
0.230472	0.234941	0.100000	0.016512
0.229406	0.233920	0.100000	0.016501
0.228356	0.232915	0.100000	0.016564
0.227323	0.231927	0.100000	0.016527
0.226306	0.230956	0.100000	0.016583
0.225306	0.230000	0.100000	0.016628
0.224322	0.229061	0.100000	0.016585
0.223354	0.228137	0.100000	0.016639
0.222402	0.227229	0.100000	0.016595
0.221465	0.226335	0.100000	0.016571
0.220543	0.225457	0.100000	0.016635
0.219635	0.224593	0.100000	0.016546
0.218742	0.223743	0.100000	0.016612
0.217863	0.222907	0.100000	0.016599
0.216998	0.222085	0.100000	0.016643
0.216147	0.221276	0.100000	0.016693
0.215308	0.220480	0.100000	0.016702
0.214483	0.219697	0.100000	0.016665
0.213670	0.218926	0.100000	0.016668
0.212870	0.218167	0.100000	0.016675
0.212081	0.217419	0.100000	0.016745
0.211304	0.216683	0.100000	0.016791
0.210539	0.215959	0.100000	0.016792
0.209784	0.215245	0.100000	0.016765
0.209040	0.214541	0.100000	0.016851
0.208307	0.213847	0.100000	0.016779
0.207583	0.213164	0.100000	0.016790
0.206870	0.212490	0.100000	0.016751
0.206165	0.211825	0.100000	0.016799
0.205470	0.211169	0.100000	0.016789
0.204784	0.210521	0.100000	0.016783
0.204107	0.209882	0.100000	0.016772
0.203437	0.209251	0.100000	0.016756
0.202776	0.208628	0.100000	0.016945
0.202122	0.208012	0.100000	0.016790
0.201476	0.207403	0.100000	0.016819
0.200837	0.206801	0.100000	0.016887
0.200205	0.206206	0.100000	0.016869
0.199579	0.205617	0.100000	0.016918
0.198960	0.205035	0.100000	0.016798
0.198347	0.204458	0.100000	0.016999
0.197740	0.203887	0.100000	0.016858
0.197139	0.203321	0.100000	0.016871
0.196543	0.202761	0.100000	0.016808
0.195952	0.202206	0.100000	0.016884
0.195367	0.201655	0.100000	0.016855
0.194786	0.201109	0.100000	0.017179
0.194209	0.200567	0.100000	0.016883
0.193637	0.200030	0.100000	0.016880
0.193070	0.199496	0.100000	0.016922
0.192506	0.198966	0.100000	0.016945
0.191946	0.198440	0.100000	0.016890
0.191390	0.197917	0.100000	0.017119
0.190837	0.197398	0.100000	0.016021
0.190288	0.196882	0.100000	0.015948
0.189742	0.196368	0.100000	0.021928
0.189198	0.195858	0.100000	0.019739
0.188658	0.195350	0.100000	0.017232
0.188121	0.194845	0.100000	0.016998
0.187586	0.194343	0.100000	0.017157
0.187054	0.193842	0.100000	0.017315
0.186524	0.193344	0.100000	0.017017
0.185997	0.192849	0.100000	0.017217
0.185472	0.192355	0.100000	0.017018
0.184949	0.191863	0.100000	0.017173
0.184428	0.191373	0.100000	0.017109
0.183909	0.190885	0.100000	0.017146
0.183391	0.190398	0.100000	0.017352
0.182876	0.189914	0.100000	0.017182
0.182363	0.189431	0.100000	0.017275
0.181851	0.188949	0.100000	0.017148
0.181341	0.188469	0.100000	0.017260
0.180832	0.187990	0.100000	0.017234
0.180325	0.187513	0.100000	0.017329
0.179820	0.187037	0.100000	0.017339
0.179316	0.186563	0.100000	0.017076
0.178813	0.186089	0.100000	0.017426
0.178312	0.185617	0.100000	0.017245
0.177812	0.185147	0.100000	0.017278
0.177314	0.184677	0.100000	0.017092
0.176817	0.184209	0.100000	0.017419
0.176322	0.183742	0.100000	0.017180
0.175828	0.183277	0.100000	0.017153
0.175335	0.182813	0.100000	0.017214
0.174843	0.182349	0.100000	0.017465
0.174354	0.181888	0.100000	0.017166
0.173865	0.181427	0.100000	0.017468
0.173378	0.180968	0.100000	0.017078
0.172892	0.180510	0.100000	0.017339
0.172408	0.180053	0.100000	0.017331
0.171925	0.179598	0.100000	0.017361
0.171444	0.179144	0.100000	0.017291
0.170964	0.178691	0.100000	0.017259
0.170486	0.178240	0.100000	0.017269
0.170009	0.177791	0.100000	0.017306
0.169535	0.177343	0.100000	0.017279
0.169061	0.176896	0.100000	0.017299
0.168590	0.176451	0.100000	0.017427
0.168120	0.176008	0.100000	0.017389
0.167652	0.175566	0.100000	0.017489
0.167185	0.175126	0.100000	0.017461
0.166721	0.174688	0.100000	0.017370
0.166258	0.174251	0.100000	0.017474
0.165798	0.173817	0.100000	0.017352
0.165339	0.173384	0.100000	0.017599
0.164882	0.172953	0.100000	0.017394
0.164428	0.172524	0.100000	0.017540
0.163975	0.172097	0.100000	0.017378
0.163525	0.171672	0.100000	0.017543
0.163077	0.171249	0.100000	0.017485
0.162631	0.170829	0.100000	0.017419
0.162188	0.170410	0.100000	0.017664
0.161746	0.169994	0.100000	0.017317
0.161308	0.169580	0.100000	0.017494
0.160871	0.169168	0.100000	0.017334
0.160437	0.168759	0.100000	0.017598
0.160006	0.168352	0.100000	0.017439
0.159577	0.167948	0.100000	0.017663
0.159151	0.167546	0.100000	0.017560
0.158727	0.167146	0.100000	0.017425
0.158306	0.166749	0.100000	0.017717
0.157888	0.166355	0.100000	0.017452
0.157473	0.165963	0.100000	0.017637
0.157060	0.165574	0.100000	0.017440
0.156650	0.165188	0.100000	0.017703
0.156243	0.164804	0.100000	0.017403
0.155839	0.164424	0.100000	0.017487
0.155438	0.164046	0.100000	0.017500
0.155040	0.163671	0.100000	0.017440
0.154645	0.163298	0.100000	0.017706
0.154252	0.162929	0.100000	0.017459
0.153863	0.162563	0.100000	0.017692
0.153477	0.162199	0.100000	0.017389
0.153094	0.161839	0.100000	0.017578
0.152714	0.161481	0.100000	0.017673
0.152338	0.161127	0.100000	0.017435
0.151964	0.160775	0.100000	0.017673
0.151594	0.160427	0.100000	0.017521
